Query,Response
Can you Advise on security tips? பாதுகாப்பு உதவிக்குறிப்புகள் குறித்து நீங்கள் ஆலோசனை கூற முடியுமா? Pātukāppu utavikkuṟippukaḷ kuṟittu nīṅkaḷ ālōcaṉai kūṟa muṭiyumā?, 1. Do not reveal your User ID or password to anyone. 2.If you change your mobile number please notify the bank in writing of the change and get new details updated to continue our service. 3. If you have a suspicion that your User ID and password got known by any person while you were logging to the system change your User ID and Password immediately.
What is the minimum requirement to obtain a BOC Credit card? BOC கிரெடிட் கார்டைப் பெறுவதற்கான குறைந்தபட்சத் தேவை என்ன? BOC kireṭiṭ kārṭaip peṟuvataṟkāṉa kuṟaintapaṭcat tēvai eṉṉa?,Anyone who is above 18 years of age and having a net income Rs. 15000  minimum per month.
Can I use my Credit Card as soon as I receive it? எனது கிரெடிட் கார்டைப் பெற்றவுடன் அதைப் பயன்படுத்த முடியுமா? Eṉatu kireṭiṭ kārṭaip peṟṟavuṭaṉ ataip payaṉpaṭutta muṭiyumā?,You have to get your card activated by contacting us on the phone number given at the back of your card.
Why should I have a PIN for the credit card? கிரெடிட் கார்டுக்கு நான் ஏன் பின் வைத்திருக்க வேண்டும்? Kireṭiṭ kārṭukku nāṉ ēṉ piṉ vaittirukka vēṇṭum?,1. For cash withdrawals through ATMs 2. When the credit card being used overseas some countries need the PIN to process credit card transactions.
Can I change my PIN? நான் எனது பின்னை மாற்றலாமா? Nāṉ eṉatu piṉṉai māṟṟalāmā?,You can change your PIN through any BOC ATM. We always advice you to do so.
Am I automatically receiving a new Credit Card before it expired? நான் ஒரு புதிய கிரெடிட் கார்டை காலாவதியாகும் முன் தானாகவே பெறுகிறேனா? Nāṉ oru putiya kireṭiṭ kārṭai kālāvatiyākum muṉ tāṉākavē peṟukiṟēṉā?,You will receive a new Credit Card before 30 days of the expiry date.
Where can I use my Credit Card? எனது கிரெடிட் கார்டை நான் எங்கே பயன்படுத்தலாம்? Eṉatu kireṭiṭ kārṭai nāṉ eṅkē payaṉpaṭuttalām?,1. At any Point of Sale (POS) where merchant accepts Visa   MasterCard Amex 2.For online purchases 3. At ATMs for cash withdrawals (locally or internationally)
Can I use my Credit Card at POS machines belongs to other banks? பிற வங்கிகளுக்கு சொந்தமான பிஓஎஸ் இயந்திரங்களில் எனது கிரெடிட் கார்டை நான் பயன்படுத்தலாமா? piṟa vaṅkikaḷukku contamāṉa pi ō es iyantiraṅkaḷil eṉatu kireṭiṭ kārṭai nāṉ payaṉpaṭuttalāmā?,Yes
What is the CVV number and what is the purpose of it? CVV எண் என்றால் என்ன அதன் நோக்கம் என்ன? CVV eṇ eṉṟāl eṉṉa  ataṉ nōkkam eṉṉa?,1. CVV is the 3 digit number printed on the reverse of your credit card. 2.CVV is useful for online purchases
How can I check my credit card account balance? எனது கிரெடிட் கார்டு கணக்கின் இருப்பை நான் எவ்வாறு சரிபார்க்கலாம்? eṉatu kireṭiṭ kārṭu kaṇakkiṉ iruppai nāṉ evvāṟu caripārkkalām?,Obtain internet banking (ebanking) facility from Bank of Ceylon and view the balance of the card account online. Request for same via any ATM or Call us on the number provided at the back side of your credit card.
How can I increase or decrease my credit limit? எனது கிரெடிட் வரம்பை நான் எவ்வாறு கூட்டுவது அல்லது குறைப்பது? Eṉatu kireṭiṭ varampai nāṉ evvāṟu kūṭṭuvatu allatu kuṟaippatu?, 1. To Increase  Submit the written request together with latest income statements to the Credit Card Issuing Department. 2. To Decrease  Submit the written request to the Credit Card Issuing Department.
How can I close my BOC Credit Card account? எனது BOC கிரெடிட் கார்டு கணக்கை நான் எவ்வாறு மூடுவது? Eṉatu BOC kireṭiṭ kārṭu kaṇakkai nāṉ evvāṟu mūṭuvatu?,Hand over a written request to one of our branches or posted to us after paying all dues with interest together with the card punched or broken to two parts.
How do I change my personal details? எனது தனிப்பட்ட விவரங்களை எவ்வாறு மாற்றுவது? Eṉatu taṉippaṭṭa vivaraṅkaḷai evvāṟu māṟṟuvatu?,Submit a duly signed letter with details of changes.
How can I get my BOC Credit Card Statements? எனது BOC கிரெடிட் கார்டு அறிக்கைகளை நான் எவ்வாறு பெறுவது? Eṉatu BOC kireṭiṭ kārṭu aṟikkaikaḷai nāṉ evvāṟu peṟuvatu?,Monthly statement will be delivered via the post or email.
What is the advantage of SMS alerts? எஸ்எம்எஸ் விழிப்பூட்டல்களின் நன்மை என்ன? Esemes viḻippūṭṭalkaḷiṉ naṉmai eṉṉa?,You can provide us your mobile number to receive SMS alerts for every transaction which allows you to verify the genuineness of the transactions.
What should I do if my credit card is lost or stolen? எனது கிரெடிட் கார்டு தொலைந்துவிட்டாலோ அல்லது திருடப்பட்டாலோ நான் என்ன செய்ய வேண்டும்? Eṉatu kireṭiṭ kārṭu tolaintuviṭṭālō allatu tiruṭappaṭṭālō nāṉ eṉṉa ceyya vēṇṭum?,You should immediately report this to the Card Centre or Call Centre 1975 or 0112204444. Make a record of your credit card numbers and telephone numbers for reporting lost or stolen cards. Keep that list in a safe place.
What should I do if I suspect there has been a fraudulent activity on my Credit Card? எனது கிரெடிட் கார்டில் மோசடியான செயல்பாடு இருப்பதாக நான் சந்தேகித்தால் நான் என்ன செய்ய வேண்டும்? Eṉatu kireṭiṭ kārṭil mōcaṭiyāṉa ceyalpāṭu iruppatāka nāṉ cantēkittāl nāṉ eṉṉa ceyya vēṇṭum?,Call immediately our Call Centre number provided on the reverse of your credit card and inform us of the suspected transaction on your credit card.
How do I set up a standing order to pay my Credit Card account? எனது கிரெடிட் கார்டு கணக்கை செலுத்துவதற்கு நான் எப்படி ஒரு நிலையான ஆணையை அமைப்பது? Eṉatu kireṭiṭ kārṭu kaṇakkai celuttuvataṟku nāṉ eppaṭi oru nilaiyāṉa āṇaiyai amaippatu?, You can visit any of our branches and open an account (if not an account holder of BOC). Thereafter you can submit a Standing Order request to set up a standing order facility for your account.
What do I do if my BOC Credit Card is damaged? எனது BOC கிரெடிட் கார்டு சேதமடைந்தால் நான் என்ன செய்வேன்? Eṉatu BOC kireṭiṭ kārṭu cētamaṭaintāl nāṉ eṉṉa ceyvēṉ?,Inform our Call Centre using the number provided at the reverse of your credit card or Issuing Department and make a request for a replacement Credit Card
Can I use my BOC Credit Card overseas? எனது BOC கிரெடிட் கார்டை நான் வெளிநாடுகளில் பயன்படுத்தலாமா? eṉatu BOC kireṭiṭ kārṭai nāṉ veḷināṭukaḷil payaṉpaṭuttalāmā?,Yes. You can use your BOC credit card at any payment point which accepts Visa and MasterCard as payment networks.
Can I use my BOC Credit Card at any ATM to withdraw cash? எனது BOC கிரெடிட் கார்டை எந்த ஏடிஎம்மிலும் பணம் எடுக்க முடியுமா? Eṉatu BOC kireṭiṭ kārṭai enta ēṭi'em'milum paṇam eṭukka muṭiyumā?,Yes. You can use your BOC credit card at any ATM which accepts Visa and MasterCard to withdraw cash
If I suspect someone has stolen my password or used it to make a fraudulent purchase what should I do? எனது கடவுச்சொல்லை யாரேனும் திருடிவிட்டாலோ அல்லது அதை பயன்படுத்தி மோசடி செய்தாலோ நான் என்ன செய்ய வேண்டும்? eṉatu kaṭavuccollai yārēṉum tiruṭiviṭṭālō allatu atai payaṉpaṭutti mōcaṭi ceytālō nāṉ eṉṉa ceyya vēṇṭum?,You should immediately inform to our Call Centre via the number provided at the back side of your Credit Card and change the password.
Can I use the same User ID and Password I used for Online Banking to log in to the new Digital Banking Platform? புதிய டிஜிட்டல் பேங்கிங் பிளாட்ஃபார்மில் உள்நுழைய ஆன்லைன் பேங்கிங்கிற்கு நான் பயன்படுத்திய அதே பயனர் ஐடி மற்றும் கடவுச்சொல்லைப் பயன்படுத்தலாமா? Putiya ṭijiṭṭal pēṅkiṅ piḷāṭḥpārmil uḷnuḻaiya  āṉlaiṉ pēṅkiṅkiṟku nāṉ payaṉpaṭuttiya atē payaṉar aiṭi maṟṟum kaṭavuccollaip payaṉpaṭuttalāmā?, Yes.  If you have been migrated (transferred) to new ComBank Digital Platform you can use the same User ID and Password you have been using for Online Banking to access the new ComBank Digital platform.
I have already self registered to ComBank Digital. How should I log in? நான் ஏற்கனவே ComBank Digital இல் சுயமாகப் பதிவு செய்துள்ளேன். நான் எப்படி உள்நுழைய வேண்டும்? Nāṉ ēṟkaṉavē ComBank Digital il cuyamākap pativu ceytuḷḷēṉ. Nāṉ eppaṭi uḷnuḻaiya vēṇṭum?, If you have already self registered to ComBank Digital please use the User ID  and the password you have created when registering to ComBank Digital.
I received At least one of the authentication elements you entered was invalid or your account is locked What should I do? நீங்கள் உள்ளிட்ட அங்கீகார உறுப்புகளில் ஏதேனும் ஒன்று தவறானது அல்லது உங்கள் கணக்கு பூட்டப்பட்டுள்ளது நான் என்ன செய்ய வேண்டும்? Nīṅkaḷ uḷḷiṭṭa aṅkīkāra uṟuppukaḷil ētēṉum oṉṟu tavaṟāṉatu allatu uṅkaḷ kaṇakku pūṭṭappaṭṭuḷḷatu nāṉ eṉṉa ceyya vēṇṭum?,First check whether the User Name and Password have been entered correctly (Upper Keys   Lower Keys) Eg If you are a previous Online Banking User who has been upgraded to ComBank Digital you need to type your User ID in CAPITAL LETTERS If you cannot remember your User ID and Password used previously please use Having Trouble Logging in? function.
How can I unblock   Reset my password? எனது கடவுச்சொல்லை மீட்டமைப்பது எப்படி தடையை நீக்குவது? Eṉatu kaṭavuccollai mīṭṭamaippatu eppaṭi taṭaiyai nīkkuvatu?,SelfUnblock facility is available on both Web Version and Mobile App of ComBank Digital. You can either visit the www.combankdigital.com web site or open your Mobile App and click Having trouble logging in? If you are using a Mobile app and you have logged onto the app previously first click Login with another user.
I have changed my mobile number and registered the new mobile number in Online Banking. Yet I do not get OTP to my new mobile number. What should I do? எனது மொபைல் எண்ணை மாற்றி புதிய மொபைல் எண்ணை ஆன்லைன் பேங்கிங்கில் பதிவு செய்துள்ளேன். ஆனாலும் எனது புதிய மொபைல் எண்ணுக்கு OTP வரவில்லை. நான் என்ன செய்ய வேண்டும்? Eṉatu mopail eṇṇai māṟṟi putiya mopail eṇṇai āṉlaiṉ pēṅkiṅkil pativu ceytuḷḷēṉ. Āṉālum eṉatu putiya mopail eṇṇukku OTP varavillai. Nāṉ eṉṉa ceyya vēṇṭum?,If you have provided written request to update your new mobile number in Online Banking platform please contact your Branch and request the number updated in ComBank Digital platform.
How to download a Cyber Receipt? சைபர் ரசீதை பதிவிறக்கம் செய்வது எப்படி? Caipar racītai pativiṟakkam ceyvatu eppaṭi?, 1. Go to SelfManagement from top menu bar and select Online Activity 2.Find the online activity you prefer and click on the arrow key in front of the transaction to download the cyber receipt.
How do you update the contact information? தொடர்புத் தகவலை எவ்வாறு புதுப்பிப்பது? Toṭarput takavalai evvāṟu putuppippatu?, Please contact your branch for instructions on how to update your contact information and the documents you need to provide. 
I have already set up billers and beneficiaries in my Online Banking  platform. How can I access them on ComBank Digital? எனது ஆன்லைன் பேங்கிங் தளத்தில் ஏற்கனவே பில்லர்கள் மற்றும் பயனாளிகளை அமைத்துள்ளேன். ComBank Digital இல் அவற்றை எவ்வாறு அணுகுவது? Eṉatu āṉlaiṉ pēṅkiṅ taḷattil ēṟkaṉavē pillarkaḷ maṟṟum payaṉāḷikaḷai amaittuḷḷēṉ. ComBank Digital il avaṟṟai evvāṟu aṇukuvatu?, 1.Previously Registered Biller Details and Beneficiary details have been saved as a Template in the ComBank Digital Platform 2.Select Transfer   Payments and click Transfers and Payments 3.Click on Select Payment Type and select Choose Template 4.Scroll down to select the desired template from the Select Existing Template drop down.
How can I obtain a receipt for the fund transfer? நிதி பரிமாற்றத்திற்கான ரசீதை நான் எப்படிப் பெறுவது? Niti parimāṟṟattiṟkāṉa racītai nāṉ eppaṭip peṟuvatu?, Please follow the below steps 1. Laptop   Computer or Responsive web Select SelfManagement and then select Online Activity. 2. Mobile apps Select Profile Icon in the landing page and then click on the Online Activity icon in the top of the screen.
How can I get all my proprietorship accounts added to my personal Digital Banking platform? In ComBank Digital platform எனது தனிப்பட்ட டிஜிட்டல் பேங்கிங் பிளாட்ஃபார்மில் எனது அனைத்து உரிமையாளர் கணக்குகளையும் எவ்வாறு சேர்ப்பது? Eṉatu taṉippaṭṭa ṭijiṭṭal pēṅkiṅ piḷāṭḥpārmil eṉatu aṉaittu urimaiyāḷar kaṇakkukaḷaiyum evvāṟu cērppatu?, proprietorship accounts cannot be combined with personal account.
How do I get registered for Online Banking? ஆன்லைன் வங்கிக்கு நான் எவ்வாறு பதிவு செய்வது? Āṉlaiṉ vaṅkikku nāṉ evvāṟu pativu ceyvatu?, 1. Simply click here to register online. 2.You can visit the nearest NTB branch and request for the facility.
What Information is required when I Register for Online Banking? நான் ஆன்லைன் வங்கிக்கு பதிவு செய்யும் போது என்ன தகவல் தேவை? Nāṉ āṉlaiṉ vaṅkikku pativu ceyyum pōtu eṉṉa takaval tēvai?, 1. Registered Mobile Number and email address (with the bank) 2. Active Accounts or primary Credit Cards
how do I register online? நான் ஆன்லைனில் எவ்வாறு பதிவு செய்வது? nāṉ āṉlaiṉil evvāṟu pativu ceyvatu?,You can use your Debit card or credit Card issued by Nations Trust Bank with its PIN to register. This will provide you full capability without any restrictions. Please note incase you do not remember the PIN of your credit Card you still can register by entering the security code and the expiry date of the card. However in this case you can only perform own account fund transfers and inquiries only. By calling our 24 * 7 customer service hotline on 094 4711 411 you can get your self enabled for all the options in Nations Online Banking.
Are there any registration or service charges for Online Banking? ஆன்லைன் வங்கிக்கு ஏதேனும் பதிவு அல்லது சேவைக் கட்டணங்கள் உள்ளதா? Āṉlaiṉ vaṅkikku ētēṉum pativu allatu cēvaik kaṭṭaṇaṅkaḷ uḷḷatā?,Please click here to refer the tariff.
What Type of Browsers Can I Use to access Online Banking? ஆன்லைன் வங்கியை அணுக நான் எந்த வகையான உலாவிகளைப் பயன்படுத்தலாம்? Āṉlaiṉ vaṅkiyai aṇuka nāṉ enta vakaiyāṉa ulāvikaḷaip payaṉpaṭuttalām?, 1.Safari 2.Google Chrome 3.Mozilla Firefox 4.Internet Explorer Version 9.0 and above
Who are the service providers available in Online banking bill payments? ஆன்லைன் வங்கி பில் கொடுப்பனவுகளில் கிடைக்கும் சேவை வழங்குநர்கள் யார்? āṉlaiṉ vaṅki pil koṭuppaṉavukaḷil kiṭaikkum cēvai vaḻaṅkunarkaḷ yār?, 1. Colombo Swimming Club 2.Dialog Broadband 3.Dialog GSM 4.Dialog TV 5.Etisalat 6.JK Stock Brokers
How can I delete   edit payee details for Fund transfers? நிதி பரிமாற்றங்களுக்கான எடிட் பணம் பெறுபவர் விவரங்களை நான் எப்படி நீக்குவது? niti parimāṟṟaṅkaḷukkāṉa eṭiṭ paṇam peṟupavar vivaraṅkaḷai nāṉ eppaṭi nīkkuvatu?,Click here to view delete   edit payee details guidelines
Does it allow me to give instructions to send money for a selected date or repeatedly? தேர்ந்தெடுக்கப்பட்ட தேதிக்கு அல்லது மீண்டும் மீண்டும் பணம் அனுப்புவதற்கான வழிமுறைகளை வழங்க இது என்னை அனுமதிக்கிறதா? tērnteṭukkappaṭṭa tētikku allatu mīṇṭum mīṇṭum paṇam aṉuppuvataṟkāṉa vaḻimuṟaikaḷai vaḻaṅka itu eṉṉai aṉumatikkiṟatā?,You can place Standing instructions between NTB and other Banks by using Standing Instruction (One time and recurring) option in the main menu or quick links visible in the Online Banking home page.
How can I settle my Credit card via Online Banking? ஆன்லைன் பேங்கிங் மூலம் எனது கிரெடிட் கார்டை நான் எவ்வாறு செட்டில் செய்வது? Āṉlaiṉ pēṅkiṅ mūlam eṉatu kireṭiṭ kārṭai nāṉ evvāṟu ceṭṭil ceyvatu?,You can carry out the credit card payments to any NTB issued Credit card (except traveler cards) or a card issued by another bank by using the Credit Card Payment on the home page.
What are the NTB Credit Cards that I can check from Online Banking? ஆன்லைன் பேங்கிங் மூலம் நான் சரிபார்க்கக்கூடிய NTB கிரெடிட் கார்டுகள் என்ன? Āṉlaiṉ pēṅkiṅ mūlam nāṉ caripārkkakkūṭiya NTB kireṭiṭ kārṭukaḷ eṉṉa?, 1.American express credit cards 2. Master Credit cards 3. Traveler Cards 4.Supplementary cards 5.Corporate cards
How can I check my loan repayment schedule details from online banking? ஆன்லைன் பேங்கிங் மூலம் எனது கடனைத் திருப்பிச் செலுத்தும் அட்டவணை விவரங்களை எவ்வாறு சரிபார்க்கலாம்? āṉlaiṉ pēṅkiṅ mūlam eṉatu kaṭaṉait tiruppic celuttum aṭṭavaṇai vivaraṅkaḷai evvāṟu caripārkkalām?,Click here to view check loan repayment schedule guidelines.
Is there a way to give nick names to My Accounts? எனது கணக்குகளுக்கு புனைப்பெயர்களை வழங்க வழி உள்ளதா? Eṉatu kaṇakkukaḷukku puṉaippeyarkaḷai vaḻaṅka vaḻi uḷḷatā?,Yes. you can personalize each of your accounts and card by creating a new account name to make it easier for you to identify your Account. You can change the Nickname by selecting the Edit My Profile option under the Logout button.
How soon will payments made on line be realized or processed? ஆன்லைனில் செலுத்தப்படும் பணம் எவ்வளவு விரைவில் செயல்படுத்தப்படும்? Āṉlaiṉil celuttappaṭum paṇam evvaḷavu viraivil ceyalpaṭuttappaṭum?, 1. Bill payments telecommunication billers payment will get updated immediately Utility billers will be processed within 3 working days. 2. Transactions between Own accounts andwithin NTB accounts will be done immediately 3. Money sent to other banks  Money will get credited within 3 minutes to following list of banks and financial institutions Bank of Ceylon Peoples Bank Commercial Bank
What Proof do I receive for the Payments I make via Online Banking? ஆன்லைன் பேங்கிங் மூலம் நான் செலுத்தும் கட்டணங்களுக்கு என்ன ஆதாரம் கிடைக்கும்? Āṉlaiṉ pēṅkiṅ mūlam nāṉ celuttum kaṭṭaṇaṅkaḷukku eṉṉa ātāram kiṭaikkum?,Once you have confirmed your transfer Online Banking will provide you with an electronic receipt that includes all the essential details and the ereceipt will be emailed to your registered email address with the bank.
What if I make a payment to the wrong Payee? Can I cancel or Stop the payment? தவறான பணம் பெறுபவருக்கு நான் பணம் செலுத்தினால் என்ன செய்வது? நான் கட்டணத்தை ரத்து செய்யலாமா அல்லது நிறுத்தலாமா? Tavaṟāṉa paṇam peṟupavarukku nāṉ paṇam celuttiṉāl eṉṉa ceyvatu? Nāṉ kaṭṭaṇattai rattu ceyyalāmā allatu niṟuttalāmā?,You will not be able to stop or cancel payments made immediately (As an exception customers may call the contact center for further assistance on reversals) Any other scheduled or recurring payments may be canceled or modified if done within before the process date by using modify or stop options provided.You can also check the details of the transfer before proceeding. Its a final safeguard for you to check all transfer details on one screen and ensure the transfer is made exactly how youd like.
How far back can I search for transactions on my accounts using Online Banking? ஆன்லைன் வங்கியைப் பயன்படுத்தி எனது கணக்குகளின் பரிவர்த்தனைகளை நான் எவ்வளவு தூரம் தேட முடியும்? Āṉlaiṉ vaṅkiyaip payaṉpaṭutti eṉatu kaṇakkukaḷiṉ parivarttaṉaikaḷai nāṉ evvaḷavu tūram tēṭa muṭiyum?, You will be able to view and access transactions of last 2 years in 7 months blocks
Can I change my Login ID and Password? எனது உள்நுழைவு ஐடி மற்றும் கடவுச்சொல்லை நான் மாற்றலாமா? eṉatu uḷnuḻaivu aiṭi maṟṟum kaṭavuccollai nāṉ māṟṟalāmā?,Yes you can by choosing Edit my Profile and then you can change the user ID to one you prefer provided its not used by some other user. You can do the same with your password.
How can I update my contact details via Online Banking? ஆன்லைன் பேங்கிங் மூலம் எனது தொடர்பு விவரங்களை எவ்வாறு புதுப்பிப்பது? Āṉlaiṉ pēṅkiṅ mūlam eṉatu toṭarpu vivaraṅkaḷai evvāṟu putuppippatu?,You can send your contact information using the Mail box option provided in Online Banking page and new details will get updated within three working days
If I open a new account how soon will it get linked with my Online banking facility? நான் ஒரு புதிய கணக்கைத் திறந்தால் அது எனது ஆன்லைன் வங்கி வசதியுடன் எவ்வளவு விரைவில் இணைக்கப்படும்? Nāṉ oru putiya kaṇakkait tiṟantāl atu eṉatu āṉlaiṉ vaṅki vacatiyuṭaṉ evvaḷavu viraivil iṇaikkappaṭum?,New accounts opened will be automatically linked to the facility at end of the business day.
Do you offer Customer Service assistance if I have more questions and inquiries about Online Banking facility and transactions? ஆன்லைன் பேங்கிங் வசதி மற்றும் பரிவர்த்தனைகள் குறித்து எனக்கு மேலும் கேள்விகள் மற்றும் விசாரணைகள் இருந்தால் வாடிக்கையாளர் சேவை உதவியை வழங்குகிறீர்களா? Āṉlaiṉ pēṅkiṅ vacati maṟṟum parivarttaṉaikaḷ kuṟittu eṉakku mēlum kēḷvikaḷ maṟṟum vicāraṇaikaḷ iruntāl vāṭikkaiyāḷar cēvai utaviyai vaḻaṅkukiṟīrkaḷā?, Yes simply contact our contact Center by calling on 0114711411 or send us an email via Mail box option provided in Online Banking. You could also do so by visiting the nearest NTB branch.
What are the Eligibility criteria to open a Fixed Deposit? நிலையான வைப்புத்தொகையைத் திறப்பதற்கான தகுதிகள் என்ன? Nilaiyāṉa vaipputtokaiyait tiṟappataṟkāṉa takutikaḷ eṉṉa?, 1. A citizen of Sri Lanka above 18 years of age holding a valid National Identity Card (NIC)   valid Passport or Driving License. 2. A Sri Lankan citizen residing temporarily outside Sri Lanka. 3. A person holding dual citizenship. 4. Nonresident who possesses a resident visa.
Other than an individual who else could open a Fixed Deposit? நிலையான வைப்புத்தொகையைத் தொடங்கக்கூடிய ஒரு தனிநபரைத் தவிர? Nilaiyāṉa vaipputtokaiyait toṭaṅkakkūṭiya oru taṉinaparait tavira?, Term Deposit Accounts can be opened by Individuals singly or jointly and in addition it could be opened by Partnership firms Private and Public Limited Companies Specified Associations Societies Trusts.
Can individuals open joint Fixed Deposit? தனிநபர்கள் கூட்டு நிலையான வைப்புத்தொகையைத் திறக்க முடியுமா? Taṉinaparkaḷ kūṭṭu nilaiyāṉa vaipputtokaiyait tiṟakka muṭiyumā?, Yes. Deposit accounts can be opened by an individual in his own name or by more than one individual in their own names.
In case of a jointly held fixed Deposit who could operate the account? கூட்டாக வைத்திருக்கும் நிலையான வைப்புத்தொகைக்கு யார் கணக்கை இயக்க முடியும்? Kūṭṭāka vaittirukkum nilaiyāṉa vaipputtokaikku yār kaṇakkai iyakka muṭiyum?, Operation of Joint Accounts  The Joint Account opened by more than one individual can be operated by a single joint holder if the joint holders have agreed in the mandate under operating instructions (EITHER PARTY OPERATION). If not by more than one individual jointly as specified in the mandate. The change for operating instructions can be modified only with the consent of the joint account holders.
I am a Sri Lankan citizen residing outside of Sri Lanka how can I open an account? நான் இலங்கைக்கு வெளியில் வசிக்கும் இலங்கைப் பிரஜை  நான் எப்படி கணக்கை திறப்பது? Nāṉ ilaṅkaikku veḷiyil vacikkum ilaṅkaip pirajai  nāṉ eppaṭi kaṇakkai tiṟappatu?,You can forward the relevant scanned documents through email and funds could be transferred to one of our designated bank account in Sri Lanka. The original documents will have to be submitted to us subsequently.
Can a holder of a power of attorney sign the deposit application form? பவர் ஆஃப் அட்டர்னி வைத்திருப்பவர் டெபாசிட் விண்ணப்பப் படிவத்தில் கையெழுத்திட முடியுமா? Pavar āḥp aṭṭarṉi vaittiruppavar ṭepāciṭ viṇṇappap paṭivattil kaiyeḻuttiṭa muṭiyumā?, Yes. At the time of opening the account the original power of attorney should be submitted along the copy.
What are the documents needed to open a Fixed Deposit? ஒரு நிலையான வைப்புத்தொகையைத் திறக்கத் தேவையான ஆவணங்கள் என்ன? Oru nilaiyāṉa vaipputtokaiyait tiṟakkat tēvaiyāṉa āvaṇaṅkaḷ eṉṉa?, 1.For individuals  A duly completed Deposit application copy of NIC copy of valid passport copy of driving license if the depositors address differs from the NIC a utility bill or a copy of a bank statement with the current address of the depositor issued within 3 months of the date of deposit and a KYC form (Know Your Customer) 2. For Others Duly completed Deposit application copy of the registration of the entity KYC form of the entity Copies of NICs of Directors Authorized signatories and their individuals KYC forms resolutions  minutes confirming decision taken to place a fixed deposit with HNB FINANCE. Other relevant documents are to be obtained as mentioned in the application form.
Why is the KYC form important? KYC படிவம் ஏன் முக்கியமானது? KYC paṭivam ēṉ mukkiyamāṉatu?,Know Your Customer Form  In order to prevent identity theft identity fraud money laundering terrorist financing. The Central Bank of Sri Lanka has directed all banks and financial institutions to complete a KYC form before opening an account. This involves verifying customers  identity and address by requesting documents that are accepted as relevant proof.
Will this information be confidential? இந்த தகவல் ரகசியமாக இருக்குமா? Inta takaval rakaciyamāka irukkumā?,Yes. under Section 61 of the Finance Business Act No 42 of 2011 strict confidentiality has to be observed by all officers of the company in respect of all customer transactions unless it is required to be disclosed by a Court of law or in compliance with any other written law
