"ஆன்லைனில் செலுத்தப்படும் பணம் எவ்வளவு விரைவில் செயல்படுத்தப்படும் அல்லது செயல்படுத்தப்படும்?","1. Bill payments telecommunication billers payment will get updated immediately Utility billers will be processed within 3 working days. 2. Transactions between Own accounts andwithin NTB accounts will be done immediately 3. Money sent to other banks  Money will get credited within 3 minutes to following list of banks and financial institutions Bank of Ceylon Peoples Bank Commercial Bank
"onlineil seluththapadum pannam evvaluvu vitaivil seyalpaduththapadum alathu seyalpaduththapadum?","1. Bill payments telecommunication billers payment will get updated immediately Utility billers will be processed within 3 working days. 2. Transactions between Own accounts andwithin NTB accounts will be done immediately 3. Money sent to other banks  Money will get credited within 3 minutes to following list of banks and financial institutions Bank of Ceylon Peoples Bank Commercial Bank"
"onlineil செலுத்தப்படும் பணம் evvaluvu vitaivil செயல்படுத்தப்படும் or செயல்படுத்தப்படும்?","1. Bill payments telecommunication billers payment will get updated immediately Utility billers will be processed within 3 working days. 2. Transactions between Own accounts andwithin NTB accounts will be done immediately 3. Money sent to other banks  Money will get credited within 3 minutes to following list of banks and financial institutions Bank of Ceylon Peoples Bank Commercial Bank"
"Can individuals open joint Fixed Deposit?","Yes. Deposit accounts can be opened by an individual in his own name or by more than one individual in their own names."
"தனிநபர்கள் கூட்டு நிலையான வைப்புத்தொகையைத் திறக்க முடியுமா?","Yes. Deposit accounts can be opened by an individual in his own name or by more than one individual in their own names."
"thaninabar kootu nilaiyana vaiputhokaiyai thiraka mudiuma?","Yes. Deposit accounts can be opened by an individual in his own name or by more than one individual in their own names."
"thaninabar joint fixed depositai திறக்க முடியுமா?","Yes. Deposit accounts can be opened by an individual in his own name or by more than one individual in their own names."
"Can I change the nominees?","In the case of a new deposit the mandate provides provision for nomination. For all other subsequent changes we need a written confirmation from the depositor s. For subsequent changes you could obtain a nomination form the company."
"நான் பரிந்துரைக்கப்பட்டவர்களை மாற்ற முடியுமா?","In the case of a new deposit the mandate provides provision for nomination. For all other subsequent changes we need a written confirmation from the depositor s. For subsequent changes you could obtain a nomination form the company."
"naan patithutaikapataarkalai maatra mudiuma","In the case of a new deposit the mandate provides provision for nomination. For all other subsequent changes we need a written confirmation from the depositor s. For subsequent changes you could obtain a nomination form the company."
"nan nomineesai மாற்ற முடியுமா?","In the case of a new deposit the mandate provides provision for nomination. For all other subsequent changes we need a written confirmation from the depositor s. For subsequent changes you could obtain a nomination form the company."
"How do make payment for the deposit?","The deposit can be made to your nearest HNB FINANCE Branch by means of Cash; fund transfer directly to a HNB FINANCE designated Bank account or Cheque  bank draft issued in favor of HNB FINANCE PLC"
"வைப்புத்தொகைக்கு எவ்வாறு பணம் செலுத்துவது?","The deposit can be made to your nearest HNB FINANCE Branch by means of Cash; fund transfer directly to a HNB FINANCE designated Bank account or Cheque  bank draft issued in favor of HNB FINANCE PLC"
"vaipuththokaiku evaru pannam seluththuathu?","The deposit can be made to your nearest HNB FINANCE Branch by means of Cash; fund transfer directly to a HNB FINANCE designated Bank account or Cheque  bank draft issued in favor of HNB FINANCE PLC"
"depositku evaru பணம் செலுத்துவது?","The deposit can be made to your nearest HNB FINANCE Branch by means of Cash; fund transfer directly to a HNB FINANCE designated Bank account or Cheque  bank draft issued in favor of HNB FINANCE PLC"
"What I should do to get my deposit renewed?","The completed renewal notice and the matured term deposit certificate should be sent to us or you may hand over these documents to any of our Branches to issue a new certificate on renewal."
"எனது வைப்புத்தொகையை புதுப்பிக்க நான் என்ன செய்ய வேண்டும்?","The completed renewal notice and the matured term deposit certificate should be sent to us or you may hand over these documents to any of our Branches to issue a new certificate on renewal."
"enathu vaipuththokaiyai puthupika naan ena seiya vendum?","The completed renewal notice and the matured term deposit certificate should be sent to us or you may hand over these documents to any of our Branches to issue a new certificate on renewal."
"enathu depositai renew seiya நான் என்ன seiya vendum?","The completed renewal notice and the matured term deposit certificate should be sent to us or you may hand over these documents to any of our Branches to issue a new certificate on renewal."
