Query,Response
How can I unblock   Reset my password?,SelfUnblock facility is available on both Web Version and Mobile App of ComBank Digital. You can either visit the www.combankdigital.com web site or open your Mobile App and click Having trouble logging in? If you are using a Mobile app and you have logged onto the app previously first click Login with another user.
I have changed my mobile number and registered the new mobile number in Online Banking. Yet I do not get OTP to my new mobile number. What should I do?,If you have provided written request to update your new mobile number in Online Banking platform please contact your Branch and request the number updated in ComBank Digital platform.
How to download a Cyber Receipt?, 1. Go to SelfManagement from top menu bar and select Online Activity 2.Find the online activity you prefer and click on the arrow key in front of the transaction to download the cyber receipt.
How do you update the contact information?, Please contact your branch for instructions on how to update your contact information and the documents you need to provide. 
I have already set up billers and beneficiaries in my Online Banking  platform. How can I access them on ComBank Digital?, 1.Previously Registered Biller Details and Beneficiary details have been saved as a Template in the ComBank Digital Platform 2.Select Transfer   Payments and click Transfers and Payments 3.Click on Select Payment Type and select Choose Template 4.Scroll down to select the desired template from the Select Existing Template drop down.
How can I obtain a receipt for the fund transfer?, Please follow the below steps 1. Laptop   Computer or Responsive web Select SelfManagement and then select Online Activity. 2. Mobile apps Select Profile Icon in the landing page and then click on the Online Activity icon in the top of the screen.
How can I get all my proprietorship accounts added to my personal Digital Banking platform? In ComBank Digital platform, proprietorship accounts cannot be combined with personal account.
How do I get registered for Online Banking?, 1. Simply click here to register online. 2.You can visit the nearest NTB branch and request for the facility.
What Information is required when I Register for Online Banking?, 1. Registered Mobile Number and email address (with the bank) 2. Active Accounts or primary Credit Cards
how do I register online?,You can use your Debit card or credit Card issued by Nations Trust Bank with its PIN to register. This will provide you full capability without any restrictions. Please note incase you do not remember the PIN of your credit Card you still can register by entering the security code and the expiry date of the card. However in this case you can only perform own account fund transfers and inquiries only. By calling our 24 * 7 customer service hotline on 094 4711 411 you can get your self enabled for all the options in Nations Online Banking.
Are there any registration or service charges for Online Banking?,Please click here to refer the tariff.
What Type of Browsers Can I Use to access Online Banking?, 1.Safari 2.Google Chrome 3.Mozilla Firefox 4.Internet Explorer Version 9.0 and above
Who are the service providers available in Online banking bill payments?, 1. Colombo Swimming Club 2.Dialog Broadband 3.Dialog GSM 4.Dialog TV 5.Etisalat 6.JK Stock Brokers
How can I delete   edit payee details for Fund transfers?,Click here to view delete   edit payee details guidelines
Does it allow me to give instructions to send money for a selected date or repeatedly?,You can place Standing instructions between NTB and other Banks by using Standing Instruction (One time and recurring) option in the main menu or quick links visible in the Online Banking home page.
How can I settle my Credit card via Online Banking?,You can carry out the credit card payments to any NTB issued Credit card (except traveler cards) or a card issued by another bank by using the Credit Card Payment on the home page.
What are the NTB Credit Cards that I can check from Online Banking?, 1.American express credit cards 2. Master Credit cards 3. Traveler Cards 4.Supplementary cards 5.Corporate cards
How can I check my loan repayment schedule details from online banking?,Click here to view check loan repayment schedule guidelines.
Is there a way to give nick names to My Accounts?,Yes. you can personalize each of your accounts and card by creating a new account name to make it easier for you to identify your Account. You can change the Nickname by selecting the Edit My Profile option under the Logout button.
How soon will payments made on line be realized or processed?, 1. Bill payments telecommunication billers payment will get updated immediately Utility billers will be processed within 3 working days. 2. Transactions between Own accounts andwithin NTB accounts will be done immediately 3. Money sent to other banks  Money will get credited within 3 minutes to following list of banks and financial institutions Bank of Ceylon Peoples Bank Commercial Bank
What Proof do I receive for the Payments I make via Online Banking?,Once you have confirmed your transfer Online Banking will provide you with an electronic receipt that includes all the essential details and the ereceipt will be emailed to your registered email address with the bank.
What if I make a payment to the wrong Payee? Can I cancel or Stop the payment?,You will not be able to stop or cancel payments made immediately (As an exception customers may call the contact center for further assistance on reversals) Any other scheduled or recurring payments may be canceled or modified if done within before the process date by using modify or stop options provided.You can also check the details of the transfer before proceeding. Its a final safeguard for you to check all transfer details on one screen and ensure the transfer is made exactly how youd like.
How far back can I search for transactions on my accounts using Online Banking?, You will be able to view and access transactions of last 2 years in 7 months blocks
Can I change my Login ID and Password?,Yes you can by choosing Edit my Profile and then you can change the user ID to one you prefer provided its not used by some other user. You can do the same with your password.
How can I update my contact details via Online Banking?,You can send your contact information using the Mail box option provided in Online Banking page and new details will get updated within three working days
If I open a new account how soon will it get linked with my Online banking facility?,New accounts opened will be automatically linked to the facility at end of the business day.
Do you offer Customer Service assistance if I have more questions and inquiries about Online Banking facility and transactions?, Yes simply contact our contact Center by calling on 0114711411 or send us an email via Mail box option provided in Online Banking. You could also do so by visiting the nearest NTB branch.
What are the Eligibility criteria to open a Fixed Deposit?, 1. A citizen of Sri Lanka above 18 years of age holding a valid National Identity Card (NIC)   valid Passport or Driving License. 2. A Sri Lankan citizen residing temporarily outside Sri Lanka. 3. A person holding dual citizenship. 4. Nonresident who possesses a resident visa.
Other than an individual who else could open a Fixed Deposit?, Term Deposit Accounts can be opened by Individuals singly or jointly and in addition it could be opened by Partnership firms Private and Public Limited Companies Specified Associations Societies Trusts.
Can individuals open joint Fixed Deposit?, Yes. Deposit accounts can be opened by an individual in his own name or by more than one individual in their own names.
In case of a jointly held fixed Deposit who could operate the account?, Operation of Joint Accounts  The Joint Account opened by more than one individual can be operated by a single joint holder if the joint holders have agreed in the mandate under operating instructions (EITHER PARTY OPERATION). If not by more than one individual jointly as specified in the mandate. The change for operating instructions can be modified only with the consent of the joint account holders.
I am a Sri Lankan citizen residing outside of Sri Lanka how can I open an account?,You can forward the relevant scanned documents through email and funds could be transferred to one of our designated bank account in Sri Lanka. The original documents will have to be submitted to us subsequently.
Can a holder of a power of attorney sign the deposit application form?, Yes. At the time of opening the account the original power of attorney should be submitted along the copy.
What are the documents needed to open a Fixed Deposit?, 1.For individuals  A duly completed Deposit application copy of NIC copy of valid passport copy of driving license if the depositors address differs from the NIC a utility bill or a copy of a bank statement with the current address of the depositor issued within 3 months of the date of deposit and a KYC form (Know Your Customer) 2. For Others Duly completed Deposit application copy of the registration of the entity KYC form of the entity Copies of NICs of Directors Authorized signatories and their individuals KYC forms resolutions  minutes confirming decision taken to place a fixed deposit with HNB FINANCE. Other relevant documents are to be obtained as mentioned in the application form.
Why is the KYC form important?,Know Your Customer Form  In order to prevent identity theft identity fraud money laundering terrorist financing. The Central Bank of Sri Lanka has directed all banks and financial institutions to complete a KYC form before opening an account. This involves verifying customers  identity and address by requesting documents that are accepted as relevant proof.
Will this information be confidential?,Yes. under Section 61 of the Finance Business Act No 42 of 2011 strict confidentiality has to be observed by all officers of the company in respect of all customer transactions unless it is required to be disclosed by a Court of law or in compliance with any other written law
What will happen if I do not provide the required KYC information or documents to HNB FINANCE?,HNB FINANCE will have the right to reject the deposit.
Is there provision for Nomination for a Deposit?, Yes. You can nominate any person s as you wish. If you are nominating more than one person you should indicate each persons share. If not we will consider on equal share basis. The full name s of the nominees and their identification numbers such as NIC PP DL should be submitted by the depositor.
Can I change the nominees?, In the case of a new deposit the mandate provides provision for nomination. For all other subsequent changes we need a written confirmation from the depositor s. For subsequent changes you could obtain a nomination form the company.
In a case of a joint account could any one of the joint holders change the nominee?,No. In a joint account all joint holders consent is necessary to change the nomination.
In a case of a joint account if one of the joint holders are deceased can the surviving holder s operate the account?,Yes. The surviving holder s can operate the account without the consent of the nominee. Nominee will come in to effect only in the event of demise of all depositors.
What happens in the case of the death of a depositor? How will the payment be made?,Upon the submission of the following documents by the nominee payment or transfer could be made to the nominee; 1.Deposit certificate 2.Certified copy of the death certificate of the depositor 3.Identification of the Nominee 4.Duly completed Affidavit by the nominee 5.Instruction letter from the nominee
When I open an account do I get a fixed deposit certificate?, Yes. you will be given a certificate with the following information. Deposit account number Date of deposit Date of maturity Value of deposit Names of the depositor s with their identity details Mode of interest payment Terms and conditions governing the deposit.
What happens if I lose or misplace my certificate?,To perform any transaction you need have the certificate. In such instances you could request for a duplicate certificate with the following documents. Request letter from the depositor s duly perfected Affidavit attested by a Notary  JP (A specimen of an affidavit could be obtained from the company)
What are the present rates of interest?, Click here for the present rates of interest.
What happens if the interest rate changes during the contracted deposit period?, There will be no change to the terms since we are contracted to the rate until its maturity as per current rules.
What are the periods for which deposits are accepted at present?, 1. 12 Months 2. 18 Months 3. 24 Months 4. 36 Months 5. 48 6. 60 Months.
Can I make a deposit for a short period?,Yes. You could make a fixed deposit for a minimum period of 12 months or if it Is less than 12 months you could open a Savings account.
How do make payment for the deposit?,The deposit can be made to your nearest HNB FINANCE Branch by means of Cash; fund transfer directly to a HNB FINANCE designated Bank account or Cheque  bank draft issued in favor of HNB FINANCE PLC
Can funds be deposited from time to time as additions to the existing deposits?, Additions part payments could be made only at the date of Maturity. Alternatively you could open a new deposit account.
Can deposits be made by way of cheques issued favoring the depositor or third party and endorsed in favor of HNB FINANCE?,Cheques favoring a third party (not the depositor) are not accepted. However uncrossed cheques drawn in favor of the depositor could be accepted. All deposits made by cheques are subject to realization of the proceeds.
Can I withdraw my Fixed Deposit before maturity?, Yes. You could at any given time. However you could obtain a FD agents Loan without withdrawing your deposit.
Who is eligible to open a Senior Citizens account?,Customers who are 60 years of age or above are eligible to obtain a HNB FINANCE Senior Citizens account
Can a joint account be opened with a Senior Citizen where one of the Citizens account holders is below the qualifying age?,No At the time of opening the account all joint holders must complete the age of 60 Years.
What happens to my account when I reach the age of a Senior Citizen (60 years)?,Talk to your customer care officer and you could make necessary changes when renewing   opening a new deposit or savings account.
What other benefits are available for HNB FINANCE Depositors?, 1. Loan facilities against the deposit. 2. Letters of guarantee (Bank Guarantees) 3. TR facilities through ATMs . 
Do you pay monthly interest on deposits?, Yes interest can be paid monthly or at maturity
What are the modes by which interest is paid?,As per the instruction given by the depositor the interest payment can be arranged as follows; Payment to the account designated by the customer (E.g. HNB FINANCE Savings account or other bank accounts)
Can you pay interest to the second depositor or a designated person?,Yes. with the instructions of deposit holder s the interest can be paid either to one of the joint holders or to a third party with a written consent of the deposit account holders.
When do you intimate the maturity of the deposit?,A computer generated renewal notice is sent 14 days in advance of the maturity date.
What I should do to get my deposit renewed?,The completed renewal notice and the matured term deposit certificate should be sent to us or you may hand over these documents to any of our Branches to issue a new certificate on renewal.
Are the signatures of all the joint depositors required on the renewal form?,This is subject to the operating instructions given at the time of opening the account.
If I do not respond to the renewal notice what will happen to my deposit?,On a Monthly Interest payment fixed Deposit the capital will be renewed automatically with the prevailing interest rate for the same period. And if it is a maturity deposit the capital will be renewed with the accrued interest and will be renewed for the equal period at the prevailing rate.
At maturity how can I withdraw my deposit?,You have to surrender the original deposit certificate duly discharged with the payment instructions. 
Do I need to give notice of withdrawal?,No notice of withdrawal is necessary. However In a case of a withdrawal through a branch it is advisable to give one days notice as the payments are processed at a central location.
In case I need money urgently can I withdraw the deposit?,Yes you can. The Deposit could be withdrawn on request of the depositor and at the discretion of the company subject to a discounted interest rate. In a case of a joint account withdrawal will be allowed as per the operating instructions given by the joint holders.
Can I get part payment prematurely?,Yes. The same procedure is applicable as for a full premature withdrawal. However in such cases the depositor can also consider obtaining a loan up to 90.00% on maturity deposits and up to 70 percentage on monthly deposits of the deposit amount.
Is the signature of one of the depositors sufficient for payment at maturity or prematurely?,This depends on the operating instructions given at the time of opening of the account as in some cases it could be both all or either party.
Will you allow a loan on the deposit?, Yes  you are eligible to apply for a loan against your deposit ranging from 70% to 90% of the capital value according to the category of the deposit
What notice is necessary to obtain a temporary loan?,No notice is necessary.
What are the documents needed to obtain a loan?,1. Original Fixed deposit certificate 2. Loan application form signed by the depositor s as per the operating instruction given in the deposit application
Can the loan be repaid in installments?,Yes. Until the Maturity of the Deposit takes place the loan can be repaid. Thereafter if you wish the loan balance could be carried forward subject to renewal of the deposit.
What are the advantages of financing through leasing?, 1. Facilities can be obtained much faster than traditional forms of financing 2. Requires less documents 3. Known monthly commitment 4. Frees up bank lines 5. Repayment plans according to your requirement (Structured and Residual Lease Facilities)
What are the types of equipment are financed?,Motor vehicles three wheelers motor cycles tractors construction equipment plant and machinery computers etc.
Are used vehicles equipment financed?, Yes used assets are financed subject to there being an established value for such assets. It is also a necessity for there to be a clearly identifiable owner for such assets.We finance popular vehicles which are up to 20 years old subject to conditions
Who can obtain a lease facility?, Any individual partnership or limited liability company could obtain a facility subject to the financiers assessment of the applicants creditworthiness
Does one have to be a tax payer or a current account holder to be eligible to obtain a lease facility?, No. These are no pre requisites.
Do you need to pledge assets as collateral?, No. Leasing facilities are generally extended without additional collateral. However there could be instances where additional collateral may be requested for especially when it comes to financing of equipment
What documents do I have to submit when applying for a lease facility?, 1. Invoice from the person selling the vehicle equipment 2. Valuation from a company approved value. Valuations could be obtained through our branch network (Except Brand New Vehicle). 3. Proof of income of applicant and guarantors. If documents are not available we could still consider based income projected income assessment derived from discussions and onsite inspections 1.Documents certifying confirming sources of projected income. 2. Project proposals in the case of equipment financing. 3. Copies of NICs of the applicant and the guarantors
Can the payment plan be structured to meet my cash flow?, Yes if income is seasonal.
How much would I have to pay as pre payments?,This would depend on the age of the asset marketability of the asset credit worthiness of the applicant etc.
Can a lease facility be repaid prematurely?, Yes. There would be a rebate for pre termination.
How long would it take to obtain a lease facility?, We are committed to finalizing an application within a day subject to all required information documents being submitted.
Do I have to insure the asset financed?, Yes the asset financed has to be insured (Full Insurance). Our fully owned subsidiary HNB Assurance will place the insurance with an insurer of your choice who is acceptable to us
Whom do I contact in order to obtain a lease facility?, Simply call your nearest branch or our customer service hotline on 0112024848 and we will assist you accordingly
Can the rental payments under lease contract be claimed as an allowable expense?,The rental could be claimed subject to the asset leased being used to generate income on a liable activity
What benefits do I enjoy if I open a Savings account with HNB FINANCE?,1. You obtain a competitive higher interest rate. 2.You receive an even higher interest when the account balance grows. 3. You can access your account from any of our island wide network of branches. You can also access your account from any HNB ATM. 4. You enjoy free standing order facilities. 5. You select your desired account to suit your requirement. Refer product details on main web page. 6. You can choose to have a pass book.
How can I withdraw money from a savings account?, You can withdraw the money from any of the HNB FINANCE Branch counters during office working hours or from HNB ATMs up to a maximum of Rs. 150000 = per day. 24×7 ( HNB FINANCE  HNB network)
Do you charge on ATM Withdrawals?, Rs.12 will be charged on withdrawals and Rs. 7 = will be charged on Balance Inquiries. Please be aware that the Company reserves the right to amend any terms or conditions after notice.(These chargers are subject to changes)
Are your Branches Electronically Linked? Yes our branch network is linked which means, if you deposit money from Colombo you could withdraw your money from any HNB FINANCE Branch or vice versa.
How can I make deposits to my savings account?, You can make deposits at any branch counter by cash or cheque. If deposited by cheque the cheque should be drawn in favor of  HNB FINANCE Company PLC O A of Account holders name and account number. If necessary fund transfers could also be arranged
Do I have to maintain a minimum balance in a savings account?,Yes. In a Normal Senior Citizen savings account Rs. 250 = to be maintained and In a Yalu Savings account Rs.250 = and in a Miyulasi Savings account Rs.250 =
Is there a charge if I do not maintain the minimum balance?,No
How can I obtain an HNB FINANCE ATM Card?,If you are an existing savings account holder (except Yalu) you may forward an application form to any of our branches who will make arrangements to provide you the ATM card within maximum of 5 working days.
What is required to open a HNB FINANCE Yalu Childrens Savings Account?, HNB FINANCE Yalu Childrens Savings Account can be opened by a parent or a Legal guardian of a child below the age of 18 year following are the pre requests 1. Account could be open with a maximum deposit of LKR 250 2. A certified copy of the childs Birth Certificate . 3. A certified copy of the Parent  Legal Guardians ID Card  valid PP  DL.
What are the special attractions for HNB FINANCE Yalu childrens savings accounts?, There are two types of HNB FINANCE Yalu savings accounts Yalu Savings account with gift package  This account includes an attractive interest rate and a gift at account opening and as the account balance grows
What happens when a minor attains the age of consent   majority?, The company will send a letter requesting to convert the status of the account. The parent guardian should make arrangement to forward a new savings application in the name of the Minor turned Major with the signature and a copy of the national identity card
Can parent guardian withdraw the money in a HNB FINANCE Yalu Children savings account?, No. However in the following special circumstances withdrawals are allowed. 1. If there is a necessity for the Childs benefit such as education and medical expenses a written request with proof of documents which satisfies the company will have to be submitted. 2. The balance in a minors account may be transferred upon written instructions of the parent guardian of the minor to an account maintained in the name of the minor in an authorized deposit taking institution upon completion of sixty months from the date of the first deposit or any time thereafter. The transfer should be effected by a cheque drawn in favour of the minor and crossed account payee only
How can I open an account?,1. In opening savings accountshould obtain the duly completed account opening application mandate with signature. 2. Should have the identity of the applicant established by means any of the following documents in opening savings accounts. National Identity Card valid passport valid Drivers license Senior Citizens Identity card with an identification number
What should i do when passbook is lost?,Customer should be apprised that the bank should be informed immediately in the event the passbook gets lost and that the passbook should not be alienated.Affidavit should provide which attested by a Justice of peace  Commissioner for oath  attorney at law should be independently verified.
How can I apply a personal loan and what are the documents need to submit?,Visit nearest Peoples Bank Brach to your permanent residence or works station with following documents. Latest three continuous pay sheets Copy of appointment letter or service certificate
What is the minimum balance that I need to maintain in the Savings Account?, Rs 1000 
How to open a Minor(Children) account ?,The parents or the Gordian of the Minor should complete the relevant forms on his her behalf. However the account should be maintained in the name of the Minor.Birth certificate is mandatory .
How can I activate a Dormant Account?, Visit your account holding branch with your passbook and make withdrawal to activate your dormant account.
Are there any minimum and maximum cash withdrawal limits per day?,No
How can I access the services?,Access to the Internet Banking Facility (Peoples Web) This can access via the Peoples Bank Website (www.peoplesbank.lk) and thereafter clicking the Internet Banking icon after clicking on the On line Banking Icon Access to the Mobile Banking Facility (Peoples Wave) Peoples Wave app can be downloaded and installed in the mobile phone from Play Store(Applicable only over ANDROID Version 4.4  APPLE (IOS) Version 8.0.) and App Galary (Huawei)
What is OTP?,OTP stands for One Time Password generated by the system. You will receive OTP to your Mobile phone number or email which is registered with the bank.
What is Phishing Image?,Phishing images are used to avoid the unauthorized access to your online banking facility. Select image from the list of images as you prefer at the registration and you have to use it once you forget your password.
What is the Phishing phase?,Phishing phase should enter at the registration which contains not less than 08 and not more than 40 digits at the discretion of the customer.
How to enter the password ?,Password should consist 08  12 characters. A minimum of an English Capital letter a simple letter a special symbol and a digit should be included therein.
How to enter the User Name ?,The User Name should consist between 3 12 English letters and numbers English letters or numbers. Please do not enter any common user name eg SHEHAN
What are process for Registration?, 1. Select the type of the account and enter the account number. 2. Select the type of the Identity Card and enter the Identity Card number. 3.Agreement or nonagreement with the terms and conditions that appear on screen. 4.Select one of the phishing images that appear on screen. Thereafter enter a Personal Phrase 5. Enter password and Reenter the same password 6. Select Access level  Should select Inquiry Full. 7. Should select either SMS or Email as the medium through which the one time password (OTP) will be obtained. 8. Click  Request OTP 9. Insert the OTP received via SMS or Email in the place appearing as OTP in the system and click Continue 10. You shall receive a notification informing whether registration has been successful or has failed.
Is there a fee for this service?, Six months grace period will be offered for the first six months. Thereafter the levying fee for this service is Rs 25  per month.
How do I change my Password?,Go to Settings of the Mobile Banking or the Internet banking to change your password
I cant remember the username .What should I do?,Please contact 1961 or 094112031001 (For overseas customers) Or Visit your nearest branch
I cant remember the password .What should I do?,Use the Forgot password option in the login screen of the Mobile Banking or the Internet banking
What should I do if I lose my Password?,Immediately reset your password Using the option in the Settings of the Mobile Banking or the Internet banking to change your password OR Use the option Forgot password in the login screen of the Mobile Banking or the Internet banking to reset your password. OR Contact the Call Center through 1961
How can I view my account estatements?, You can download your own statement through our Internet banking system by following blow the steps HOME > ACCOUNT SERVICES >ACCOUNT SUMMARY > ACCOUNT DETAILS> TRANSACTION PERIOD AND DOWNLOAD> FIND THE STATEMENT IN THE MY FOLDER
Are there any limits to money transfers?,No limit to transfer money to own accounts in Peoples Bank If you registered at the facility after December 2020 LKR 100000 is the maximum limit to do fund tralimit is LKR 100000 Per transaction LKR 100000 To increasnsfer to third party accounts other banks and bill payment.
How can I deactivate online banking?, Contact the Call Center through 1961 or 094112031001 (For overseas customers)
What are the services facilities are available at ATMs?, 1. Cash Withdrawal 2. Balance Inquiry 3. Cardless Cash Withdrawal 4. Mobile cash withdrawal
Do banks levy any service charge for use of other bank ATMs?, 1. Cash Withdrawal 2. Balance Inquiry
While performing a transaction does the card automatically come out if the ATM gets switched off?, Yes
If the ATM gets switched off right before the cash withdrawal does the cash come out when the ATM gets switched on again?, No
What is the procedure of a Kiosk bill payment reversal?,Should contact relevant Branch which kiosk is installed
What is the per day limit of 3rd party fund transfer?,Kiosk  Rs. 200000  per transaction
How long does it take to update a bill payment?,Real Time
Does the bank charge any service fee when performing transactions from the CDM and Kiosk?, Kiosk  No CDM Yes for Bill Payments Rs. 10.00
What are the facilities available at CDMs and Kiosk?, 1. CDMs. 2. Cash Deposit 3. Bill Payments 4. Kiosk 5. Bill Payment 6. Pawning Payment 7. Fund Transfer 8. Balance Inquiry 9.PIN Change 10. PLC  Insurance Bill payment 11.Send Mobile cash
What is the maximum cash advance limit in ATM?, Rs. 100000.00 per day
How many transactions can be performed by a single card per day in CDM Kiosk?, There is No limit  restriction
In an active card the reason why some customers cannot perform transactions for the first time?,There is no such a issue contact 1961 for any clarification
When the cash get stuck inside the deposit machine how can it be recovered?,Should contact same Branch
What is the maximum deposit amount per day through CDM?,No restriction
Does the bank facilitate card less transaction service?,Only for EB accounts
How to activate card less transaction service?,Should open EB account
What is the maximum amount that can be withdrawn through the card less cash service?,Rs. 15000.00
What should be done if the ATM issues damaged notes?,Contact same Branch
What if the ATM issues less cash than the amount entered in the ATM?,Not happen
What should be done if other bank ATM does not issue cash but the account gets debited?,Customer Should contact Peoples Card Center and send a request via email  card@peoplesbank.lk
What should be done if a card gets stuck in the ATM?,Customer should obtain new ATM card
Is it possible to pay peoples bank or other bank credit card payments through CDM or Kiosk?,Facility not available right now
What happens to the cash sent through mobile cash service if the beneficiary had lost the pin?, Senders Account will be credited after expiry of 24 hours
Is there a possibility to change credit card pin number from the ATM?,Yes
How to perform pawning payments through CDM?,Cant be paid via CDMs
What are the pin resert options?, Pin reset can be done through the branch but they direct customers to the call centre. 
What is the IBAN (International Bank Account Number) of Peoples Bank? Do I need the Banks IBAN to send money to Sri Lanka?,IBAN is not necessarily required to remit money to Sri Lanka and the following information with SWIFT Code is sufficient to send a telegraphic transfer with correct beneficiary details.
How to send Money Abroad for Import Purposes?,Advance Payment Terms  (Cashin Advance)
How to send Money Abroad for Educational Purposes?, Documents Needed (for an initial payment) 1. Offer letter and the relevant documents issued by the University consisting allowable expenses for the student. 2. Copy of the passport 3. Copy of the visa page of the passport.  [Not required for the initial payment] 4. Copy of the Student ID  [Not required for the initial payment] 5. Duly completed Application Form  (Issued by the Bank)
How to send Money Abroad for Migration Purposes?, A Sri Lanka national who has been a resident of Sri Lanka and has obtained Permanent Residency (PR) or citizenship in another country including a dual citizen (hereinafter referred to as an emigrant) is eligible for the migration allowance which includes proceeds realized from the sale of movable and immovable property tangible and intangible assets owned by the emigrant and gifts received by the emigrant from the spouse and parents. Assets may include the value of precious stones precious metals personal jewellery and other assets held in Sri Lanka including estates inherited as beneficiaries.
How to send Money to Sri Lanka?, Sending Money to Sri Lanka from Abroad  Inward remittances Peoples Remittance 1. Step into your Remitting Bank  Exchange Company (Peoples eRemittance Agent) 2. Instruct the Remitting Bank Exchange company to send the money to Peoples Bank
What is eRemittance?, ‘Peoples eRemittance is a webbased product of Peoples Bank supported by the latest technology to facilitate sending remittances to Sri Lanka within minutes. The aim is to offer new technology and system automations to ensure a speedy and smooth customer service.
